Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year,Playoff
San Diego ChargersSan Diego,16,322,20.1,1500,93.8,2845,177.8,4345,271.6,2010,False
Pittsburgh SteelersPittsburgh,16,232,14.5,1004,62.8,3425,214.1,4429,276.8,2010,True
New York JetsNY Jets,16,304,19.0,1454,90.9,3210,200.6,4664,291.5,2010,True
New Orleans SaintsNew Orleans,16,307,19.2,1797,112.3,3103,193.9,4900,306.2,2010,True
Green Bay PackersGreen Bay,16,240,15.0,1838,114.9,3107,194.2,4945,309.1,2010,True
Miami DolphinsMiami,16,333,20.8,1601,100.1,3348,209.2,4949,309.3,2010,False
New York GiantsNY Giants,16,347,21.7,1620,101.2,3352,209.5,4972,310.8,2010,False
Minnesota VikingsMinnesota,16,348,21.8,1635,102.2,3367,210.4,5002,312.6,2010,False
Chicago BearsChicago,16,286,17.9,1441,90.1,3588,224.2,5029,314.3,2010,True
Baltimore RavensBaltimore,16,270,16.9,1503,93.9,3599,224.9,5102,318.9,2010,True
Oakland RaidersOakland,16,371,23.2,2138,133.6,3027,189.2,5165,322.8,2010,False
Philadelphia EaglesPhiladelphia,16,377,23.6,1766,110.4,3469,216.8,5235,327.2,2010,True
San Francisco 49ersSan Francisco,16,346,21.6,1547,96.7,3697,231.1,5244,327.8,2010,False
Kansas City ChiefsKansas City,16,326,20.4,1764,110.2,3519,219.9,5283,330.2,2010,True
Cincinnati BengalsCincinnati,16,395,24.7,1843,115.2,3469,216.8,5312,332.0,2010,False
Atlanta FalconsAtlanta,16,288,18.0,1694,105.9,3625,226.6,5319,332.4,2010,True
Tampa Bay BuccaneersTampa Bay,16,318,19.9,2107,131.7,3216,201.0,5323,332.7,2010,False
Carolina PanthersCarolina,16,408,25.5,1981,123.8,3393,212.1,5374,335.9,2010,False
St. Louis RamsSt. Louis,16,328,20.5,1810,113.1,3578,223.6,5388,336.8,2010,False
Indianapolis ColtsIndianapolis,16,388,24.2,2032,127.0,3433,214.6,5465,341.6,2010,True
Detroit LionsDetroit,16,369,23.1,1999,124.9,3498,218.6,5497,343.6,2010,False
Cleveland BrownsCleveland,16,332,20.8,2070,129.4,3531,220.7,5601,350.1,2010,False
Dallas CowboysDallas,16,436,27.2,1734,108.4,3894,243.4,5628,351.8,2010,False
Buffalo BillsBuffalo,16,425,26.6,2714,169.6,3072,192.0,5786,361.6,2010,False
New England PatriotsNew England,16,313,19.6,1728,108.0,4136,258.5,5864,366.5,2010,True
Tennessee TitansTennessee,16,339,21.2,1851,115.7,4032,252.0,5883,367.7,2010,False
Seattle SeahawksSeattle,16,407,25.4,1903,118.9,3994,249.6,5897,368.6,2010,True
Jacksonville JaguarsJacksonville,16,419,26.2,1945,121.6,4004,250.2,5949,371.8,2010,False
Arizona CardinalsArizona,16,434,27.1,2323,145.2,3654,228.4,5977,373.6,2010,False
Houston TexansHouston,16,427,26.7,1751,109.4,4280,267.5,6031,376.9,2010,False
Washington RedskinsWashington,16,377,23.6,2041,127.6,4187,261.7,6228,389.2,2010,False
Denver BroncosDenver,16,471,29.4,2473,154.6,3780,236.2,6253,390.8,2010,False
